_id,PROJECT_NAME,PROJECTID,TEST_CASE_NAME,TCID,TESTEXECID,ITERATIONID,DeviceType,ID,CURRENT_ITERATION_NUMBER,Filename,Timestamp,Type,Value,HPLMN,sim_state,Serving PLMN,NW sel mode,Service,MM5G,NR5G_RSRP,NR5G_SINR,NR5G_RSRQ,NR_RRC,NR_SSB_Index,NR_ARFCN,NR_PCI,NR_BAND,NR_DL Scheduling,NR_BLER,NR_BW,NR_SA_RLF Count,NR_Tx Phy Channel Type,NR_Tx Pwr,NR_CDRX,NETWORK,FINAL IMEI Certi,Call ID,Event,Method,Sub-Event,State,Reason,Imsreason,SIP_v,CSEQ,number,result,pendingMo,rng,fg,bg,oldState,newState,cause,audioDirection,playRingback,setCallRadioTech,audioQuality,codecChanged
655e90b6533c148e6b6b7d8d,1,2,3,4,5,6,7,8,9,Logcat-Basic_Tests-VoiceCall_Basic-1-DUT-R5CT92MKZEY--07262023032419.txt,2023-07-26 17:23:41.885,ModemServiceMode,0 0 12 195 401050,313-340,1,313-340,Auto,available,REGISTERED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
655e90b6533c148e6b6b7d8f,1,2,3,4,5,6,7,8,9,Logcat-Basic_Tests-VoiceCall_Basic-1-DUT-R5CT92MKZEY--07262023032419.txt,2023-07-26 17:23:41.886,ModemServiceMode,,,,,,,,-92,22.5,-11,CONNECTED,3,401050,611,n70,0.00,0.00,25 MHz,--,PUCCH,20 dBm,Active,UNBLOCK,PASS,,,,,,,,,,,,,,,,,,,,,,,
655e90b6533c148e6b6b7d91,1,2,3,4,5,6,7,8,9,Logcat-Basic_Tests-VoiceCall_Basic-1-DUT-R5CT92MKZEY--07262023032419.txt,2023-07-26 17:23:43.407,ModemServiceMode,0 0 12 195 401050,313-340,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
655e90b6533c148e6b6b7d93,1,2,3,4,5,6,7,8,9,Logcat-Basic_Tests-VoiceCall_Basic-1-DUT-R5CT92MKZEY--07262023032419.txt,2023-07-26 17:23:43.408,ModemServiceMode,,,,313-340,Auto,available,REGISTERED,-92,22.5,-11,CONNECTED,3,401050,611,n70,0.00,0.00,25 MHz,--,PUCCH,20 dBm,Active,UNBLOCK,PASS,,,,,,,,,,,,,,,,,,,,,,,
655e90b6533c148e6b6b7d95,1,2,3,4,5,6,7,8,9,Logcat-Basic_Tests-VoiceCall_Basic-1-DUT-R5CT92MKZEY--07262023032419.txt,2023-07-26 17:23:44.932,ModemServiceMode,0 0 12 195 401050,313-340,1,313-340,Auto,available,REGISTERED,-91,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
655e90b6533c148e6b6b7d97,1,2,3,4,5,6,7,8,9,Logcat-Basic_Tests-VoiceCall_Basic-1-DUT-R5CT92MKZEY--07262023032419.txt,2023-07-26 17:23:44.933,ModemServiceMode,,,,,,,,,,-11,IDLE,3,401050,611,n70,0.00,0.00,25 MHz,--,PUCCH,20 dBm,Active,UNBLOCK,PASS,,,,,,,,,,,,,,,,,,,,,,,
655e90b6533c148e6b6b7d99,1,2,3,4,5,6,7,8,9,Logcat-Basic_Tests-VoiceCall_Basic-1-DUT-R5CT92MKZEY--07262023032419.txt,2023-07-26 17:23:48.871,Telecom,,,,,,,,,,,,,,,,,,,,,,,,,333,Event: RecordEntry ,Event: RecordEntry TC@333: CREATED, CREATED,OUTGOING,,,,,,,,,,,,,,,,,,
655e90b6533c148e6b6b7d9b,1,2,3,4,5,6,7,8,9,Logcat-Basic_Tests-VoiceCall_Basic-1-DUT-R5CT92MKZEY--07262023032419.txt,2023-07-26 17:23:48.890,Telecom,UserHandle{0},,,,,,,,,,,,,,,,,,,,,,,,333,Event: RecordEntry ,Event: RecordEntry TC@333: SET_CONNECTING, SET_CONNECTING,,,,,,,,,,,,,,,,,,,
655e90b6533c148e6b6b7d9d,1,2,3,4,5,6,7,8,9,Logcat-Basic_Tests-VoiceCall_Basic-1-DUT-R5CT92MKZEY--07262023032419.txt,2023-07-26 17:23:48.902,Telecom,tel:**********,,,,,,,,,,,,,,,,,,,,,,,,333,InCallController,InCallController: onCallAdded, onCallAdded,,,,,,,,,,,,,,,,,,,
655e90b6533c148e6b6b7d9f,1,2,3,4,5,6,7,8,9,Logcat-Basic_Tests-VoiceCall_Basic-1-DUT-R5CT92MKZEY--07262023032419.txt,2023-07-26 17:23:49.016,Telecom,**********,,,,,,,,,,,,,,,,,,,,,,,,333,Event: RecordEntry ,Event: RecordEntry TC@333: START_CONNECTION, START_CONNECTION,,,,,,,,,,,,,,,,,,,
655e90b6533c148e6b6b7da1,1,2,3,4,5,6,7,8,9,Logcat-Basic_Tests-VoiceCall_Basic-1-DUT-R5CT92MKZEY--07262023032419.txt,2023-07-26 17:23:49.255,Telecom,,,,,,,,,,,,,,,,,,,,,,,,,333,InCallController,InCallController: Sending updateCall , Sending updateCall ,CONNECTING,,,,,,,,,,,,,,,,,,
655e90b6533c148e6b6b7da3,1,2,3,4,5,6,7,8,9,Logcat-Basic_Tests-VoiceCall_Basic-1-DUT-R5CT92MKZEY--07262023032419.txt,2023-07-26 17:23:49.256,Telecom,,,,,,,,,,,,,,,,,,,,,,,,,333,InCallController,InCallController: Sending updateCall , Sending updateCall ,CONNECTING,,,,,,,,,,,,,,,,,,
655e90b6533c148e6b6b7da5,1,2,3,4,5,6,7,8,9,Logcat-Basic_Tests-VoiceCall_Basic-1-DUT-R5CT92MKZEY--07262023032419.txt,2023-07-26 17:23:49.258,Telecom,,,,,,,,,,,,,,,,,,,,,,,,,333,InCallController,InCallController: Sending updateCall , Sending updateCall ,CONNECTING,,,,,,,,,,,,,,,,,,
655e90b6533c148e6b6b7da7,1,2,3,4,5,6,7,8,9,Logcat-Basic_Tests-VoiceCall_Basic-1-DUT-R5CT92MKZEY--07262023032419.txt,2023-07-26 17:23:49.261,Telecom,,,,,,,,,,,,,,,,,,,,,,,,,333,InCallController,InCallController: Sending updateCall , Sending updateCall ,CONNECTING,,,,,,,,,,,,,,,,,,
655e90b6533c148e6b6b7da9,1,2,3,4,5,6,7,8,9,Logcat-Basic_Tests-VoiceCall_Basic-1-DUT-R5CT92MKZEY--07262023032419.txt,2023-07-26 17:23:49.263,Telecom,,,,,,,,,,,,,,,,,,,,,,,,,333,InCallController,InCallController: Sending updateCall , Sending updateCall ,CONNECTING,,,,,,,,,,,,,,,,,,
655e90b6533c148e6b6b7dab,1,2,3,4,5,6,7,8,9,Logcat-Basic_Tests-VoiceCall_Basic-1-DUT-R5CT92MKZEY--07262023032419.txt,2023-07-26 17:23:49.265,Telecom,,,,,,,,,,,,,,,,,,,,,,,,,333,InCallController,InCallController: Sending updateCall , Sending updateCall ,CONNECTING,,,,,,,,,,,,,,,,,,
655e90b6533c148e6b6b7dad,1,2,3,4,5,6,7,8,9,Logcat-Basic_Tests-VoiceCall_Basic-1-DUT-R5CT92MKZEY--07262023032419.txt,2023-07-26 17:23:49.267,Telecom,,,,,,,,,,,,,,,,,,,,,,,,,333,Event: RecordEntry ,Event: RecordEntry TC@333: SET_DIALING, SET_DIALING,successful outgoing call,,,,,,,,,,,,,,,,,,
655e90b6533c148e6b6b7daf,1,2,3,4,5,6,7,8,9,Logcat-Basic_Tests-VoiceCall_Basic-1-DUT-R5CT92MKZEY--07262023032419.txt,2023-07-26 17:23:49.268,Telecom,,,,,,,,,,,,,,,,,,,,,,,,,333,InCallController,InCallController: Sending updateCall , Sending updateCall ,DIALING,,,,,,,,,,,,,,,,,,
655e90b6533c148e6b6b7db1,1,2,3,4,5,6,7,8,9,Logcat-Basic_Tests-VoiceCall_Basic-1-DUT-R5CT92MKZEY--07262023032419.txt,2023-07-26 17:23:49.284,Telecom,,,,,,,,,,,,,,,,,,,,,,,,,333,InCallController,InCallController: Sending updateCall , Sending updateCall ,DIALING,,,,,,,,,,,,,,,,,,
655e90b6533c148e6b6b7db3,1,2,3,4,5,6,7,8,9,Logcat-Basic_Tests-VoiceCall_Basic-1-DUT-R5CT92MKZEY--07262023032419.txt,2023-07-26 17:23:49.286,Telecom,,,,,,,,,,,,,,,,,,,,,,,,,333,InCallController,InCallController: Sending updateCall , Sending updateCall ,DIALING,,,,,,,,,,,,,,,,,,
655e90b6533c148e6b6b7db5,1,2,3,4,5,6,7,8,9,Logcat-Basic_Tests-VoiceCall_Basic-1-DUT-R5CT92MKZEY--07262023032419.txt,2023-07-26 17:23:49.287,Telecom,,,,,,,,,,,,,,,,,,,,,,,,,333,InCallController,InCallController: Sending updateCall , Sending updateCall ,DIALING,,,,,,,,,,,,,,,,,,
655e90b6533c148e6b6b7db7,1,2,3,4,5,6,7,8,9,Logcat-Basic_Tests-VoiceCall_Basic-1-DUT-R5CT92MKZEY--07262023032419.txt,2023-07-26 17:23:49.310,Telecom,,,,,,,,,,,,,,,,,,,,,,,,,333,InCallController,InCallController: Sending updateCall , Sending updateCall ,DIALING,,,,,,,,,,,,,,,,,,
655e90b6533c148e6b6b7db9,1,2,3,4,5,6,7,8,9,Logcat-Basic_Tests-VoiceCall_Basic-1-DUT-R5CT92MKZEY--07262023032419.txt,2023-07-26 17:23:49.330,Telecom,,,,,,,,,,,,,,,,,,,,,,,,,333,InCallController,InCallController: Sending updateCall , Sending updateCall ,DIALING,,,,,,,,,,,,,,,,,,
655e90b6533c148e6b6b7dbb,1,2,3,4,5,6,7,8,9,Logcat-Basic_Tests-VoiceCall_Basic-1-DUT-R5CT92MKZEY--07262023032419.txt,2023-07-26 17:23:50.192,Telecom,,,,,,,,,,,,,,,,,,,,,,,,,333,InCallController,InCallController: Sending updateCall , Sending updateCall ,DIALING,,,,,,,,,,,,,,,,,,
655e90b6533c148e6b6b7dbd,1,2,3,4,5,6,7,8,9,Logcat-Basic_Tests-VoiceCall_Basic-1-DUT-R5CT92MKZEY--07262023032419.txt,2023-07-26 17:23:50.194,Telecom,,,,,,,,,,,,,,,,,,,,,,,,,333,InCallController,InCallController: Sending updateCall , Sending updateCall ,DIALING,,,,,,,,,,,,,,,,,,
655e90b6533c148e6b6b7dbf,1,2,3,4,5,6,7,8,9,Logcat-Basic_Tests-VoiceCall_Basic-1-DUT-R5CT92MKZEY--07262023032419.txt,2023-07-26 17:23:50.202,Telecom,,,,,,,,,,,,,,,,,,,,,,,,,333,InCallController,InCallController: Sending updateCall , Sending updateCall ,DIALING,,,,,,,,,,,,,,,,,,
655e90b6533c148e6b6b7dc1,1,2,3,4,5,6,7,8,9,Logcat-Basic_Tests-VoiceCall_Basic-1-DUT-R5CT92MKZEY--07262023032419.txt,2023-07-26 17:23:50.215,Telecom,,,,,,,,,,,,,,,,,,,,,,,,,333,InCallController,InCallController: Sending updateCall , Sending updateCall ,DIALING,,,,,,,,,,,,,,,,,,
