_id,Filename,PROJECT_NAME,PROJECTID,TEST_CASE_NAME,TCID,TESTEXECID,ITERATIONID,DeviceType,ID,CURRENT_ITERATION_NUMBER,Timestamp,Type,Value,HPLMN,sim_state,Serving PLMN,NW sel mode,Service,MM5G,NR5G_RSRP,NR5G_SINR,NR5G_RSRQ,NR_RRC,NR_SSB_Index,NR_ARFCN,NR_PCI,NR_BAND,NR_DL Scheduling,NR_BLER,NR_BW,NR_SA_RLF Count,NR_Tx Phy Channel Type,NR_Tx Pwr,NETWORK,FINAL IMEI Certi,NR_CDRX,Call ID,Event,Method,Sub-Event,State,Reason,Imsreason,SIP_v,CSEQ,contentType,handle,latitude,longitude
654c40f6ef5bb177aa5ff225,Logcat-UX_44_VoiceCall_Tests-VoiceCall-1-DUT-R5CT92SP5YT--11082023025055_ExecID-1842150_IterID-3772454.txt,1,2,3,4,5,6,7,8,9,2023-11-08T03:49:45.485Z,ModemServiceMode,0 0 12 195 401050,313-340,1,313-340,Manual,available,REGISTERED,-89,24.2,-11,CONNECTED,--,401050,885,n70,--,--,25 MHz,--,--,--,UNBLOCK,PASS,,,,,,,,,,,,,,
654c40f6ef5bb177aa5ff226,Logcat-UX_44_VoiceCall_Tests-VoiceCall-1-DUT-R5CT92SP5YT--11082023025055_ExecID-1842150_IterID-3772454.txt,1,2,3,4,5,6,7,8,9,2023-11-08T03:49:47.005Z,ModemServiceMode,0 0 12 195 401050,313-340,1,313-340,Manual,available,REGISTERED,-89,24.5,-11,CONNECTED,3,401050,885,n70,--,--,25 MHz,,,,,,,,,,,,,,,,,,,
654c40f6ef5bb177aa5ff227,Logcat-UX_44_VoiceCall_Tests-VoiceCall-1-DUT-R5CT92SP5YT--11082023025055_ExecID-1842150_IterID-3772454.txt,1,2,3,4,5,6,7,8,9,2023-11-08T03:49:47.006Z,ModemServiceMode,,,,,,,,,,,,,,,,,,,--,PUCCH,5 dBm,UNBLOCK,PASS,,,,,,,,,,,,,,
654c40f6ef5bb177aa5ff228,Logcat-UX_44_VoiceCall_Tests-VoiceCall-1-DUT-R5CT92SP5YT--11082023025055_ExecID-1842150_IterID-3772454.txt,1,2,3,4,5,6,7,8,9,2023-11-08T03:49:48.532Z,ModemServiceMode,0 0 12 195 401050,313-340,1,313-340,Manual,available,REGISTERED,-89,24.2,-11,CONNECTED,3,401050,885,n70,0.00,0.00,25 MHz,--,PUCCH,,,,,,,,,,,,,,,,,
654c40f6ef5bb177aa5ff229,Logcat-UX_44_VoiceCall_Tests-VoiceCall-1-DUT-R5CT92SP5YT--11082023025055_ExecID-1842150_IterID-3772454.txt,1,2,3,4,5,6,7,8,9,2023-11-08T03:49:48.533Z,ModemServiceMode,,,,,,,,,,,,,,,,,,,,,4 dBm,UNBLOCK,PASS,Active,,,,,,,,,,,,,
654c40f6ef5bb177aa5ff22a,Logcat-UX_44_VoiceCall_Tests-VoiceCall-1-DUT-R5CT92SP5YT--11082023025055_ExecID-1842150_IterID-3772454.txt,1,2,3,4,5,6,7,8,9,2023-11-08T03:49:50.048Z,ModemServiceMode,0 0 12 195 401050,313-340,1,313-340,Manual,available,REGISTERED,-89,24.2,-11,CONNECTED,3,401050,885,n70,0.00,0.00,25 MHz,--,PUCCH,5 dBm,UNBLOCK,PASS,Active,,,,,,,,,,,,,
654c40f6ef5bb177aa5ff22b,Logcat-UX_44_VoiceCall_Tests-VoiceCall-1-DUT-R5CT92SP5YT--11082023025055_ExecID-1842150_IterID-3772454.txt,1,2,3,4,5,6,7,8,9,2023-11-08T03:49:51.567Z,ModemServiceMode,0 0 12 195 401050,313-340,1,313-340,Manual,available,REGISTERED,-89,25.0,-11,CONNECTED,3,401050,885,n70,,,,,,,,,,,,,,,,,,,,,,
654c40f6ef5bb177aa5ff22c,Logcat-UX_44_VoiceCall_Tests-VoiceCall-1-DUT-R5CT92SP5YT--11082023025055_ExecID-1842150_IterID-3772454.txt,1,2,3,4,5,6,7,8,9,2023-11-08T03:49:51.568Z,ModemServiceMode,,,,,,,,,,,,,,,,0.55,0.00,25 MHz,--,PUCCH,5 dBm,UNBLOCK,PASS,Active,,,,,,,,,,,,,
654c40f6ef5bb177aa5ff22d,Logcat-UX_44_VoiceCall_Tests-VoiceCall-1-DUT-R5CT92SP5YT--11082023025055_ExecID-1842150_IterID-3772454.txt,1,2,3,4,5,6,7,8,9,2023-11-08T03:49:53.091Z,ModemServiceMode,0 0 12 195 401050,313-340,1,313-340,Manual,available,REGISTERED,-89,25.0,-11,CONNECTED,3,401050,885,n70,0.00,0.00,25 MHz,--,PUCCH,,,,,,,,,,,,,,,,,
654c40f6ef5bb177aa5ff22e,Logcat-UX_44_VoiceCall_Tests-VoiceCall-1-DUT-R5CT92SP5YT--11082023025055_ExecID-1842150_IterID-3772454.txt,1,2,3,4,5,6,7,8,9,2023-11-08T03:49:53.092Z,ModemServiceMode,,,,,,,,,,,,,,,,,,,,,5 dBm,UNBLOCK,PASS,Active,,,,,,,,,,,,,
654c40f6ef5bb177aa5ff22f,Logcat-UX_44_VoiceCall_Tests-VoiceCall-1-DUT-R5CT92SP5YT--11082023025055_ExecID-1842150_IterID-3772454.txt,1,2,3,4,5,6,7,8,9,2023-11-08T03:49:54.617Z,ModemServiceMode,0 0 12 195 401050,313-340,1,313-340,Manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
654c40f6ef5bb177aa5ff230,Logcat-UX_44_VoiceCall_Tests-VoiceCall-1-DUT-R5CT92SP5YT--11082023025055_ExecID-1842150_IterID-3772454.txt,1,2,3,4,5,6,7,8,9,2023-11-08T03:49:54.618Z,ModemServiceMode,,,,,,available,REGISTERED,-90,25.0,-11,IDLE,3,401050,885,n70,0.00,0.00,25 MHz,--,PUCCH,4 dBm,UNBLOCK,PASS,Active,,,,,,,,,,,,,
654c40f6ef5bb177aa5ff231,Logcat-UX_44_VoiceCall_Tests-VoiceCall-1-DUT-R5CT92SP5YT--11082023025055_ExecID-1842150_IterID-3772454.txt,1,2,3,4,5,6,7,8,9,2023-11-08T03:49:56.146Z,ModemServiceMode,0 0 12 195 401050,313-340,1,313-340,Manual,available,REGISTERED,-89,16.2,-11,IDLE,3,401050,885,n70,0.00,0.00,25 MHz,--,PUCCH,4 dBm,UNBLOCK,PASS,Active,,,,,,,,,,,,,
654c40f6ef5bb177aa5ff232,Logcat-UX_44_VoiceCall_Tests-VoiceCall-1-DUT-R5CT92SP5YT--11082023025055_ExecID-1842150_IterID-3772454.txt,1,2,3,4,5,6,7,8,9,2023-11-08T03:49:57.664Z,ModemServiceMode,0 0 12 195 401050,313-340,1,313-340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
654c40f6ef5bb177aa5ff233,Logcat-UX_44_VoiceCall_Tests-VoiceCall-1-DUT-R5CT92SP5YT--11082023025055_ExecID-1842150_IterID-3772454.txt,1,2,3,4,5,6,7,8,9,2023-11-08T03:49:57.665Z,ModemServiceMode,,,,,Manual,available,REGISTERED,-89,16.2,-11,IDLE,3,401050,885,n70,0.00,0.00,25 MHz,--,,,,,,,,,,,,,,,,,,
654c40f6ef5bb177aa5ff234,Logcat-UX_44_VoiceCall_Tests-VoiceCall-1-DUT-R5CT92SP5YT--11082023025055_ExecID-1842150_IterID-3772454.txt,1,2,3,4,5,6,7,8,9,2023-11-08T03:49:57.666Z,ModemServiceMode,,,,,,,,,,,,,,,,,,,,PUCCH,4 dBm,UNBLOCK,PASS,Active,,,,,,,,,,,,,
654c40f6ef5bb177aa5ff235,Logcat-UX_44_VoiceCall_Tests-VoiceCall-1-DUT-R5CT92SP5YT--11082023025055_ExecID-1842150_IterID-3772454.txt,1,2,3,4,5,6,7,8,9,2023-11-08T03:49:59.186Z,ModemServiceMode,0 0 12 195 401050,313-340,1,313-340,Manual,available,REGISTERED,-89,25.0,-11,CONNECTED,3,401050,,,,,,,,,,,,,,,,,,,,,,,,
654c40f6ef5bb177aa5ff236,Logcat-UX_44_VoiceCall_Tests-VoiceCall-1-DUT-R5CT92SP5YT--11082023025055_ExecID-1842150_IterID-3772454.txt,1,2,3,4,5,6,7,8,9,2023-11-08T03:49:59.187Z,ModemServiceMode,,,,,,,,,,,,,,885,n70,0.00,0.00,25 MHz,--,PUCCH,3 dBm,UNBLOCK,PASS,,,,,,,,,,,,,,
654c40f6ef5bb177aa5ff237,Logcat-UX_44_VoiceCall_Tests-VoiceCall-1-DUT-R5CT92SP5YT--11082023025055_ExecID-1842150_IterID-3772454.txt,1,2,3,4,5,6,7,8,9,2023-11-08T03:50:00.708Z,ModemServiceMode,0 0 12 195 401050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
654c40f6ef5bb177aa5ff238,Logcat-UX_44_VoiceCall_Tests-VoiceCall-1-DUT-R5CT92SP5YT--11082023025055_ExecID-1842150_IterID-3772454.txt,1,2,3,4,5,6,7,8,9,2023-11-08T03:50:00.709Z,ModemServiceMode,,313-340,1,313-340,Manual,available,REGISTERED,-89,24.2,-11,CONNECTED,3,401050,885,n70,0.00,0.00,25 MHz,--,PUCCH,,,,,,,,,,,,,,,,,
