_id,PROJECT_NAME,PROJECTID,TEST_CASE_NAME,TCID,TESTEXECID,ITERATIONID,DeviceType,ID,CURRENT_ITERATION_NUMBER,Filename,Timestamp,Type,Call ID,Event,Method,Sub-Event,Value,State,Reason,Imsreason,Alpha Tag,NR_ARFCN,sim_state,asulevel,csiCqiTableIndex,parametersUseForLevel,csiCqiReport,NR5G_RSRP,Serving PLMN,NR_BAND,csiRsrp,mAdditionalPlmns,csiRsrq,NR5G_SINR,nci,rsrq,tac,NR_PCI,latitude,longitude,number,result,pendingMo,rng,fg,bg,oldState,newState,cause,audioDirection,playRingback,HPLMN,NW sel mode,Service,MM5G,NR5G_RSRQ,NR_RRC,NR_SSB_Index,NR_DL Scheduling,NR_BLER,NR_BW,NR_SA_RLF Count,NR_Tx Phy Channel Type,NR_Tx Pwr,NR_CDRX,NETWORK,FINAL IMEI Certi,SIP_v,CSEQ,setCallRadioTech,audioQuality,codecChanged,contentType,handle,domain,token,messageRef,PhoneId,format,message_class,mno,sendResult,errorClass,errorCode
6552fc1e2f592530f0012390,1,2,3,4,5,6,7,8,9,Logcat-AirplaneModeTests-voiceCall-1-DUT-ZY22H9L964--11042023084216_ExecID-1823653_IterID-13.txt,2023-11-04T20:41:19.989Z,Telecom,11,Event: RecordEntry ,Event: RecordEntry TC@11: CREATED, CREATED,,null;requestedAcct:none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6552fc1e2f592530f0012391,1,2,3,4,5,6,7,8,9,Logcat-AirplaneModeTests-voiceCall-1-DUT-ZY22H9L964--11042023084216_ExecID-1823653_IterID-13.txt,2023-11-04T20:41:20.036Z,Telecom,11,Event: RecordEntry ,Event: RecordEntry TC@11: SET_CONNECTING, SET_CONNECTING,UserHandle{0},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6552fc1e2f592530f0012392,1,2,3,4,5,6,7,8,9,Logcat-AirplaneModeTests-voiceCall-1-DUT-ZY22H9L964--11042023084216_ExecID-1823653_IterID-13.txt,2023-11-04T20:41:20.045Z,Telecom,11,InCallController,InCallController: onCallAdded, onCallAdded,tel:+13526739015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6552fc1e2f592530f0012393,1,2,3,4,5,6,7,8,9,Logcat-AirplaneModeTests-voiceCall-1-DUT-ZY22H9L964--11042023084216_ExecID-1823653_IterID-13.txt,2023-11-04T20:41:20.203Z,Telecom,11,InCallController,InCallController: Sending updateCall , Sending updateCall ,,CONNECTING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6552fc1e2f592530f0012394,1,2,3,4,5,6,7,8,9,Logcat-AirplaneModeTests-voiceCall-1-DUT-ZY22H9L964--11042023084216_ExecID-1823653_IterID-13.txt,2023-11-04T20:41:20.325Z,Telecom,11,Event: RecordEntry ,Event: RecordEntry TC@11: START_CONNECTION, START_CONNECTION,%2B13526739015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6552fc1e2f592530f0012395,1,2,3,4,5,6,7,8,9,Logcat-AirplaneModeTests-voiceCall-1-DUT-ZY22H9L964--11042023084216_ExecID-1823653_IterID-13.txt,2023-11-04T20:41:20.551Z,Telecom,11,InCallController,InCallController: Sending updateCall , Sending updateCall ,,CONNECTING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6552fc1e2f592530f0012396,1,2,3,4,5,6,7,8,9,Logcat-AirplaneModeTests-voiceCall-1-DUT-ZY22H9L964--11042023084216_ExecID-1823653_IterID-13.txt,2023-11-04T20:41:20.553Z,Telecom,11,Event: RecordEntry ,Event: RecordEntry TC@11: SET_DIALING, SET_DIALING,,successful outgoing call,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6552fc1e2f592530f0012397,1,2,3,4,5,6,7,8,9,Logcat-AirplaneModeTests-voiceCall-1-DUT-ZY22H9L964--11042023084216_ExecID-1823653_IterID-13.txt,2023-11-04T20:41:20.579Z,Telecom,11,InCallController,InCallController: Sending updateCall , Sending updateCall ,,DIALING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6552fc1e2f592530f0012398,1,2,3,4,5,6,7,8,9,Logcat-AirplaneModeTests-voiceCall-1-DUT-ZY22H9L964--11042023084216_ExecID-1823653_IterID-13.txt,2023-11-04T20:41:20.597Z,Telecom,11,InCallController,InCallController: Sending updateCall , Sending updateCall ,,DIALING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6552fc1e2f592530f0012399,1,2,3,4,5,6,7,8,9,Logcat-AirplaneModeTests-voiceCall-1-DUT-ZY22H9L964--11042023084216_ExecID-1823653_IterID-13.txt,2023-11-04T20:41:20.602Z,Telecom,11,InCallController,InCallController: Sending updateCall , Sending updateCall ,,DIALING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6552fc1e2f592530f001239a,1,2,3,4,5,6,7,8,9,Logcat-AirplaneModeTests-voiceCall-1-DUT-ZY22H9L964--11042023084216_ExecID-1823653_IterID-13.txt,2023-11-04T20:41:20.651Z,Telecom,11,InCallController,InCallController: Sending updateCall , Sending updateCall ,,DIALING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
